timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1519580893012,2145,HTTP Request,200,,request for index 3-77,text,true,,3425,148,75,239,2139,0,1
1519580892334,2830,HTTP Request,200,,request for index 3-27,text,true,,3425,144,74,238,2830,0,1
1519580892541,2630,HTTP Request,200,,request for index 3-44,text,true,,3425,150,73,237,2627,0,0
1519580891990,3255,HTTP Request,200,,request for index 3-2,text,true,,3425,146,72,236,3232,0,0
1519580893059,2194,HTTP Request,200,,request for index 3-81,text,true,,3425,148,71,235,2183,0,0
1519580892494,2766,HTTP Request,200,,request for index 3-40,text,true,,3425,144,70,234,2753,0,0
1519580893149,2124,HTTP Request,200,,request for index 3-87,text,true,,3425,145,69,233,2110,0,1
1519580892927,2362,HTTP Request,200,,request for index 3-70,text,true,,3425,144,68,232,2348,0,0
1519580892951,2347,HTTP Request,200,,request for index 3-72,text,true,,3425,145,67,231,2347,0,1
1519580892324,3345,HTTP Request_Login check,200,,login Test 2-58,text,true,,651,481,88,230,3345,0,0
1519580892572,3097,HTTP Request,200,,request for index 3-47,text,true,,3425,141,66,230,3096,0,0
1519580893285,2437,HTTP Request,200,,request for index 3-97,text,true,,3425,144,65,228,2437,0,1
1519580892388,3376,HTTP Request,200,,request for index 3-31,text,true,,3425,141,64,227,3354,0,11
1519580892868,2915,HTTP Request,200,,request for index 3-65,text,true,,3425,148,63,226,2914,0,1
1519580892870,2938,HTTP Request,200,,request for index 3-64,text,true,,3425,144,62,225,2936,0,0
1519580892413,3395,HTTP Request,200,,request for index 3-33,text,true,,3425,145,62,225,3370,0,0
1519580893037,2773,HTTP Request,200,,request for index 3-79,text,true,,3425,147,60,223,2771,0,0
1519580893317,2495,HTTP Request,200,,request for index 3-99,text,true,,3425,149,59,222,2495,0,0
1519580892642,3197,HTTP Request,200,,request for index 3-50,text,true,,3425,147,58,221,3194,0,0
1519580892349,3491,HTTP Request,200,,request for index 3-28,text,true,,3425,144,57,220,3491,0,1
1519580893215,2641,HTTP Request,200,,request for index 3-91,text,true,,3425,142,56,219,2615,0,0
1519580892869,3004,HTTP Request,200,,request for index 3-66,text,true,,3425,145,55,218,3003,0,0
1519580892433,3448,HTTP Request,200,,request for index 3-35,text,true,,3425,148,54,217,3448,0,0
1519580892095,3795,HTTP Request,200,,request for index 3-10,text,true,,3425,147,53,216,3795,0,1
1519580892563,3332,HTTP Request,200,,request for index 3-46,text,true,,3425,145,52,215,3332,0,0
1519580892892,3018,HTTP Request,200,,request for index 3-68,text,true,,3425,142,51,214,3018,0,1
1519580893113,2812,HTTP Request,200,,request for index 3-85,text,true,,3425,143,50,213,2808,0,0
